t,x0,y0,px0,py0,x1,y1,px1,py1,x2,y2,px2,py2
0,0.974606,-0.238749,0.454175,0.4353,-0.965282,0.247396,0.478394,0.429226,-0.00932407,-0.00864731,-0.93257,-0.864526
0.01,0.979088,-0.234382,0.44231,0.43804,-0.960436,0.251672,0.490747,0.42587,-0.0186514,-0.0172905,-0.933057,-0.86391
0.02,0.983452,-0.229988,0.430608,0.440593,-0.955467,0.255913,0.50326,0.422289,-0.0279852,-0.0259255,-0.933868,-0.862882
0.03,0.9877,-0.22557,0.419068,0.442971,-0.950371,0.260118,0.515932,0.41847,-0.0373288,-0.0345482,-0.935,-0.86144
0.04,0.991833,-0.221128,0.407689,0.445181,-0.945148,0.264283,0.528761,0.414403,-0.0466852,-0.0431543,-0.93645,-0.859584
0.05,0.995854,-0.216666,0.396472,0.447232,-0.939796,0.268406,0.541744,0.410077,-0.0560578,-0.0517398,-0.938215,-0.857309
0.06,0.999763,-0.212184,0.385413,0.449134,-0.934313,0.272484,0.554877,0.405479,-0.0654495,-0.0603005,-0.94029,-0.854614
0.07,1.00356,-0.207683,0.374513,0.450894,-0.928699,0.276515,0.568157,0.400599,-0.0748636,-0.0688321,-0.94267,-0.851493
0.08,1.00725,-0.203166,0.363768,0.45252,-0.92295,0.280496,0.58158,0.395424,-0.0843029,-0.0773304,-0.945348,-0.847944
0.09,1.01084,-0.198633,0.353178,0.45402,-0.917067,0.284424,0.595139,0.389942,-0.0937705,-0.085791,-0.948317,-0.843962
0.1,1.01432,-0.194086,0.34274,0.4554,-0.911047,0.288295,0.608829,0.384141,-0.103269,-0.0942096,-0.951569,-0.839541
0.11,1.01769,-0.189525,0.33245,0.456669,-0.90489,0.292107,0.622644,0.378008,-0.112802,-0.102582,-0.955094,-0.834676
0.12,1.02097,-0.184952,0.322308,0.457832,-0.898595,0.295855,0.636575,0.37153,-0.122371,-0.110903,-0.958883,-0.829362
0.13,1.02414,-0.180368,0.31231,0.458896,-0.892159,0.299537,0.650614,0.364697,-0.13198,-0.119169,-0.962924,-0.823593
0.14,1.02721,-0.175774,0.302453,0.459867,-0.885582,0.303149,0.664752,0.357494,-0.14163,-0.127375,-0.967206,-0.817362
0.15,1.03019,-0.171171,0.292735,0.460752,-0.878864,0.306687,0.678979,0.34991,-0.151324,-0.135516,-0.971714,-0.810662
0.16,1.03307,-0.166559,0.283152,0.461555,-0.872003,0.310147,0.693283,0.341933,-0.161064,-0.143588,-0.976435,-0.803488
0.17,1.03585,-0.16194,0.273701,0.462282,-0.864998,0.313526,0.707653,0.333551,-0.170852,-0.151586,-0.981354,-0.795833
0.18,1.03854,-0.157314,0.264379,0.462939,-0.85785,0.316818,0.722075,0.324752,-0.180691,-0.159505,-0.986455,-0.787691
0.19,1.04114,-0.152681,0.255183,0.46353,-0.850557,0.320021,0.736535,0.315526,-0.190581,-0.16734,-0.991719,-0.779055
0.2,1.04364,-0.148043,0.246109,0.464059,-0.843119,0.323129,0.751019,0.305861,-0.200525,-0.175086,-0.997128,-0.76992
0.21,1.04606,-0.1434,0.237154,0.464532,-0.835536,0.326138,0.765509,0.295747,-0.210524,-0.182738,-1.00266,-0.760279
0.22,1.04839,-0.138752,0.228314,0.464953,-0.827809,0.329044,0.779988,0.285175,-0.220579,-0.190292,-1.0083,-0.750127
0.23,1.05063,-0.134101,0.219586,0.465325,-0.819936,0.331842,0.794438,0.274136,-0.23069,-0.197741,-1.01402,-0.739461
0.24,1.05278,-0.129446,0.210966,0.465653,-0.81192,0.334527,0.808841,0.262622,-0.240859,-0.205081,-1.01981,-0.728275
0.25,1.05485,-0.124788,0.202451,0.465939,-0.80376,0.337094,0.823175,0.250627,-0.251086,-0.212306,-1.02563,-0.716566
0.26,1.05683,-0.120127,0.194036,0.466189,-0.795456,0.339539,0.837419,0.238144,-0.261372,-0.219412,-1.03145,-0.704333
0.27,1.05873,-0.115464,0.185719,0.466404,-0.787011,0.341857,0.85155,0.225169,-0.271715,-0.226393,-1.03727,-0.691573
0.28,1.06054,-0.110799,0.177495,0.466589,-0.778425,0.344043,0.865547,0.211699,-0.282117,-0.233244,-1.04304,-0.678288
0.29,1.06228,-0.106132,0.169361,0.466745,-0.7697,0.346091,0.879384,0.197732,-0.292576,-0.239959,-1.04874,-0.664477
0.3,1.06393,-0.101464,0.161313,0.466876,-0.760838,0.347997,0.893037,0.183267,-0.303092,-0.246533,-1.05435,-0.650143
0.31,1.0655,-0.0967947,0.153347,0.466984,-0.75184,0.349756,0.906482,0.168306,-0.313663,-0.252962,-1.05983,-0.63529
0.32,1.067,-0.0921244,0.14546,0.467072,-0.742708,0.351363,0.919691,0.152852,-0.324288,-0.259239,-1.06515,-0.619924
0.33,1.06841,-0.0874533,0.137647,0.467142,-0.733446,0.352813,0.932639,0.13691,-0.334966,-0.26536,-1.07029,-0.604052
0.34,1.06975,-0.0827816,0.129906,0.467196,-0.724055,0.354102,0.945299,0.120486,-0.345694,-0.27132,-1.0752,-0.587682
0.35,1.07101,-0.0781094,0.122232,0.467237,-0.71454,0.355223,0.957645,0.10359,-0.35647,-0.277114,-1.07988,-0.570826
0.36,1.07219,-0.0734368,0.114621,0.467265,-0.704902,0.356173,0.96965,0.0862318,-0.367292,-0.282736,-1.08427,-0.553497
0.37,1.0733,-0.0687641,0.107069,0.467284,-0.695147,0.356948,0.981288,0.0684252,-0.378156,-0.288184,-1.08836,-0.535709
0.38,1.07434,-0.0640912,0.0995739,0.467294,-0.685277,0.357542,0.992532,0.050185,-0.389059,-0.293451,-1.09211,-0.517479
0.39,1.07529,-0.0594182,0.0921305,0.467297,-0.675296,0.357951,1.00336,0.0315287,-0.399998,-0.298533,-1.09549,-0.498825
0.4,1.07618,-0.0547452,0.0847353,0.467294,-0.66521,0.358172,1.01374,0.0124757,-0.410969,-0.303427,-1.09848,-0.47977
0.41,1.07699,-0.0500723,0.0773846,0.467287,-0.655021,0.358201,1.02366,-0.00695245,-0.421967,-0.308129,-1.10104,-0.460335
0.42,1.07773,-0.0453995,0.0700746,0.467277,-0.644736,0.358033,1.03309,-0.0267319,-0.432989,-0.312634,-1.10316,-0.440545
0.43,1.07839,-0.0407268,0.0628015,0.467265,-0.63436,0.357666,1.042,-0.0468371,-0.444031,-0.31694,-1.10481,-0.420428
0.44,1.07898,-0.0360542,0.0555614,0.467252,-0.623896,0.357097,1.05039,-0.0672404,-0.455086,-0.321042,-1.10595,-0.400012
0.45,1.0795,-0.0313817,0.0483507,0.467238,-0.613352,0.356321,1.05824,-0.0879124,-0.46615,-0.32494,-1.10659,-0.379326
0.46,1.07995,-0.0267094,0.0411656,0.467225,-0.602732,0.355338,1.06552,-0.108822,-0.477217,-0.328629,-1.10668,-0.358403
0.47,1.08032,-0.0220372,0.0340021,0.467213,-0.592041,0.354145,1.07222,-0.129937,-0.488283,-0.332108,-1.10622,-0.337276
0.48,1.08063,-0.0173651,0.0268567,0.467202,-0.581287,0.35274,1.07833,-0.151222,-0.499342,-0.335374,-1.10519,-0.31598
0.49,1.08086,-0.0126932,0.0197255,0.467194,-0.570475,0.351121,1.08385,-0.172645,-0.510387,-0.338427,-1.10358,-0.294549
0.5,1.08102,-0.00802127,0.0126047,0.467187,-0.55961,0.349287,1.08877,-0.194167,-0.521413,-0.341265,-1.10138,-0.27302
0.51,1.08111,-0.00334942,0.00549052,0.467183,-0.548699,0.347237,1.09308,-0.215753,-0.532415,-0.343888,-1.09857,-0.25143
0.52,1.08113,0.0013224,-0.00162076,0.467182,-0.537748,0.344972,1.09679,-0.237367,-0.543385,-0.346294,-1.09517,-0.229815
0.53,1.08108,0.00599422,-0.00873295,0.467183,-0.526764,0.34249,1.09988,-0.258969,-0.554318,-0.348484,-1.09115,-0.208214
0.54,1.08096,0.0106661,-0.0158498,0.467187,-0.515751,0.339792,1.10238,-0.280525,-0.565208,-0.350458,-1.08653,-0.186663
0.55,1.08076,0.015338,-0.0229751,0.467193,-0.504716,0.336879,1.10428,-0.301996,-0.576049,-0.352217,-1.0813,-0.165198
0.56,1.0805,0.0200099,-0.0301127,0.467202,-0.493665,0.333752,1.10559,-0.323346,-0.586834,-0.353762,-1.07548,-0.143856
0.57,1.08016,0.024682,-0.0372662,0.467212,-0.482604,0.330413,1.10633,-0.344539,-0.597558,-0.355095,-1.06907,-0.122673
0.58,1.07975,0.0293542,-0.0444396,0.467224,-0.471539,0.326862,1.10651,-0.365542,-0.608215,-0.356216,-1.06207,-0.101682
0.59,1.07927,0.0340265,-0.0516364,0.467236,-0.460474,0.323102,1.10615,-0.38632,-0.6188,-0.357128,-1.05451,-0.080916
0.6,1.07872,0.0386989,-0.0588607,0.467248,-0.449416,0.319135,1.10526,-0.406841,-0.629305,-0.357834,-1.0464,-0.0604071
0.61,1.0781,0.0433714,-0.066116,0.46726,-0.438369,0.314965,1.10387,-0.427075,-0.639727,-0.358336,-1.03775,-0.040185
0.62,1.0774,0.0480441,-0.0734063,0.46727,-0.427338,0.310594,1.10199,-0.446992,-0.65006,-0.358638,-1.02858,-0.0202779
0.63,1.07663,0.0527168,-0.0807352,0.467277,-0.416329,0.306025,1.09966,-0.466565,-0.660299,-0.358742,-1.01892,-0.000711956
0.64,1.07578,0.0573896,-0.0881067,0.467281,-0.405345,0.301262,1.0969,-0.485769,-0.670439,-0.358652,-1.00879,0.0184884
0.65,1.07487,0.0620624,-0.0955244,0.46728,-0.394391,0.29631,1.09373,-0.504581,-0.680475,-0.358372,-0.998205,0.037301
0.66,1.07387,0.0667352,-0.102992,0.467272,-0.383471,0.291171,1.09018,-0.522978,-0.690403,-0.357906,-0.987193,0.0557056
0.67,1.07281,0.0714079,-0.110514,0.467258,-0.372587,0.28585,1.08629,-0.540942,-0.700219,-0.357258,-0.975778,0.0736843
0.68,1.07166,0.0760804,-0.118093,0.467233,-0.361745,0.280352,1.08208,-0.558455,-0.709919,-0.356432,-0.963988,0.0912212
0.69,1.07044,0.0807526,-0.125734,0.467198,-0.350946,0.274681,1.07758,-0.575501,-0.719499,-0.355434,-0.951847,0.108303
0.7,1.06915,0.0854243,-0.133439,0.467151,-0.340193,0.268842,1.07282,-0.592068,-0.728956,-0.354266,-0.939383,0.124917
0.71,1.06778,0.0900956,-0.141214,0.467089,-0.329489,0.26284,1.06784,-0.608143,-0.738286,-0.352935,-0.926621,0.141055
0.72,1.06632,0.0947661,-0.149062,0.46701,-0.318836,0.256679,1.06265,-0.623718,-0.747488,-0.351445,-0.913588,0.156708
0.73,1.06479,0.0994358,-0.156986,0.466912,-0.308236,0.250365,1.0573,-0.638784,-0.756558,-0.349801,-0.900311,0.171872
0.74,1.06318,0.104104,-0.16499,0.466792,-0.29769,0.243903,1.0518,-0.653335,-0.765494,-0.348008,-0.886814,0.186543
0.75,1.06149,0.108772,-0.173079,0.466649,-0.2872,0.237299,1.0462,-0.667368,-0.774294,-0.34607,-0.873124,0.200718
0.76,1.05972,0.113437,-0.181255,0.46648,-0.276766,0.230556,1.04052,-0.680878,-0.782957,-0.343993,-0.859266,0.214398
0.77,1.05787,0.118101,-0.189523,0.466281,-0.26639,0.223681,1.03479,-0.693865,-0.79148,-0.341782,-0.845262,0.227584
